DELEVAR,VARINMODEL,nummissvar,modelnum,age3_lin_beta,age3_sp1_beta,age3_sp2_beta,gender_beta,R5EATA_beta,R5CANCRE_beta,R5DIABE_beta,heart1_beta,heart2_beta,R5HIBPE_beta,R5MEALSA_beta,R5MONEYA_beta,h5lvalone_beta,R5LUNGE_beta,R5PUSHA_beta,R5WALKSA_beta,bmi3_lin_beta,bmi3_sp1_beta,bmi3_sp2_beta,smoking1_beta,smoking2_beta,stroke1_beta,stroke2_beta
all except age,age3_lin age3_sp1 age3_sp2,15,0,0.0372023111,0.1197928852,-0.363730772,,,,,,,,,,,,,,,,,,,,
,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,0,1,0.041406558,0.0866239876,-0.282298194,-0.21956604,0.3392975624,0.1033184189,0.1630852206,0.0103570343,-0.139336959,0.0764463723,0.2386006344,0.3768910552,-0.129772101,-0.046670567,0.1082606661,0.1786816784,0.0045114107,0.0114615514,-0.023493999,0.0139154096,-0.080312301,0.2179091314,0.2090377254
R5EATA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,2,0.0412982972,0.088990485,-0.289469636,-0.221586482,,0.1026349727,0.1603609264,0.0085970387,-0.134287865,0.0775660979,0.2677664009,0.3875141073,-0.1317076,-0.043585399,0.1110687277,0.179976447,0.0051072312,0.0123822694,-0.028960185,0.0129071415,-0.077959386,0.2164724031,0.2094019309
R5CANCRE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,3,0.0416404931,0.0881698666,-0.288400793,-0.215378427,0.3369244252,,0.1633171744,0.0139666608,-0.1420041,0.0760905113,0.2328976445,0.3749141068,-0.129379925,-0.048671507,0.1090881147,0.1800433036,0.0042817865,0.01160788,-0.023307753,0.0182841458,-0.077976948,0.2206996438,0.2157428777
R5DIABE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,4,0.0416795017,0.0850980509,-0.279969528,-0.209087131,0.3251006103,0.1036616288,,0.0161817931,-0.124649514,0.09036715,0.2396488489,0.3810540231,-0.12863364,-0.053073261,0.1110620906,0.1887619579,0.0059800371,0.0121310043,-0.027933023,0.0147309313,-0.082950995,0.2159496785,0.2242475861
heart1 heart2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,5,0.0419988133,0.0843518827,-0.276441795,-0.220057159,0.3302679934,0.1053256091,0.1602716428,,,0.0767491761,0.2362693773,0.3739067447,-0.130220973,-0.0563087,0.1049820857,0.1753693553,0.0053212351,0.0085815294,-0.014621071,0.0127365847,-0.078033344,0.2124898178,0.2010494313
R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,6,0.0411731886,0.0887050397,-0.288311419,-0.225188578,0.344789756,0.1028492855,0.1763221124,0.016208762,-0.136042738,,0.2373725242,0.3780743789,-0.130549502,-0.048185327,0.1121256813,0.1828140747,0.0063683682,0.0098964181,-0.021158705,0.0113134864,-0.083572427,0.2306297396,0.21730143
R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,7,0.0408926,0.0894864628,-0.290606242,-0.214835771,0.4068997022,0.0999239568,0.1635384549,0.0119130049,-0.135022665,0.0758474745,,0.4345151025,-0.132028897,-0.037191885,0.1196514248,0.190311093,0.003760024,0.0129135396,-0.028315211,0.0122502182,-0.085574125,0.2110305293,0.2296437189
R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,8,0.0405209665,0.0934937516,-0.297075381,-0.215399119,0.3844460523,0.1013273505,0.166553644,0.0064428811,-0.134791542,0.0773274972,0.3447616975,,-0.130155211,-0.053269599,0.1159001793,0.1820482546,0.0044739823,0.0074864295,-0.008937469,0.0140845083,-0.078596435,0.2363755702,0.2430287888
H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,9,0.0387476969,0.0851932413,-0.276176219,-0.184766187,0.3526603638,0.1025853824,0.161492289,0.010299404,-0.141398596,0.0775470741,0.2456204102,0.3770564606,,-0.044863374,0.1044949354,0.1779817076,0.0047427747,0.0084819371,-0.013604949,0.0107477983,-0.097976513,0.2163447802,0.2198322888
