DELEVAR,VARINMODEL,nummissvar,modelnum,age3_lin_beta,age3_sp1_beta,age3_sp2_beta,gender_beta,R5EATA_beta,R5CANCRE_beta,R5DIABE_beta,heart1_beta,heart2_beta,R5HIBPE_beta,R5MEALSA_beta,R5MONEYA_beta,h5lvalone_beta,R5LUNGE_beta,R5PUSHA_beta,R5WALKSA_beta,bmi3_lin_beta,bmi3_sp1_beta,bmi3_sp2_beta,smoking1_beta,smoking2_beta,stroke1_beta,stroke2_beta
all except age,age3_lin age3_sp1 age3_sp2,15,0,0.0518126938,0.0566168707,-0.270852733,,,,,,,,,,,,,,,,,,,,
,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,0,1,0.0495555813,0.0385644416,-0.242332165,-0.244016588,0.2495821088,0.054979981,0.0969927882,-0.017605768,-0.115337238,0.0183123302,0.210582532,0.2604730627,-0.020277083,-0.223485285,0.0899870653,0.2350497454,0.0170439631,-0.043802107,0.1313111266,-0.020563181,-0.180923908,0.2679461575,0.143932139
R5EATA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,2,0.0496834558,0.0386139958,-0.242318112,-0.24341788,,0.0513717811,0.0997259794,-0.020174922,-0.119499971,0.0179753678,0.2502108753,0.2742270177,-0.022773871,-0.225786165,0.0941454193,0.2402130394,0.0153949434,-0.039118061,0.1174007454,-0.018566182,-0.180416268,0.2641737701,0.1726415291
R5CANCRE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,3,0.0497645809,0.0389622987,-0.244442733,-0.241254298,0.2458008769,,0.0972346362,-0.016363641,-0.11418549,0.0172196528,0.2101654305,0.2616055497,-0.019995869,-0.223670979,0.0901936535,0.2362321469,0.0169268725,-0.043496741,0.1306074071,-0.018989006,-0.181073342,0.2676459697,0.1459908859
R5DIABE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,4,0.0493547161,0.0391588471,-0.244993784,-0.239139992,0.2543527582,0.0553813071,,-0.014866872,-0.105966143,0.0264951638,0.2090770683,0.2629537211,-0.019869197,-0.228534731,0.0919315686,0.2410914719,0.0174056539,-0.042376922,0.1276171323,-0.021635097,-0.183160395,0.2674695043,0.1468502679
heart1 heart2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,5,0.0495721106,0.0377531543,-0.239509496,-0.248123914,0.2526696164,0.0539996025,0.0931244267,,,0.0150835171,0.20760941,0.2590441859,-0.021972427,-0.234783125,0.0852883265,0.2293922979,0.017367906,-0.044958151,0.1348899957,-0.020634514,-0.177548276,0.2647639744,0.138445601
R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,6,0.0495762555,0.038830771,-0.243241068,-0.245681961,0.249451313,0.0543474095,0.099926254,-0.016200137,-0.112751473,,0.210138525,0.260861691,-0.020559297,-0.223828088,0.0909248271,0.2361853001,0.017587448,-0.044357674,0.1321537453,-0.020815561,-0.181560578,0.270192904,0.1462014886
R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,7,0.0495970571,0.0381662343,-0.238448017,-0.244854922,0.3135970254,0.054482977,0.095654973,-0.018828472,-0.108312524,0.017065546,,0.3321103463,-0.024550467,-0.217876582,0.0997396589,0.245513751,0.0164822356,-0.041529546,0.1239113953,-0.020584573,-0.183297715,0.2681568637,0.1623277705
R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,8,0.049717614,0.0392000578,-0.239576447,-0.240093985,0.2785151849,0.0575276888,0.0999084172,-0.019158793,-0.111086768,0.0195016132,0.305011345,,-0.023129188,-0.225186473,0.0972629355,0.2367490259,0.0169885429,-0.047048275,0.1437655327,-0.021601502,-0.178200002,0.2791884262,0.1618778817
H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,9,0.0491574909,0.0384404465,-0.241654606,-0.238364717,0.2510631286,0.0548201777,0.0968488239,-0.017725764,-0.116874873,0.0185890715,0.2121886581,0.2612205706,,-0.223017174,0.0895521374,0.2351421671,0.0171556434,-0.044344799,0.1330311311,-0.021281756,-0.183574018,0.2679739817,0.1452763346
